time,demand
4.4919506E+00,8.8058022E+01
4.5400911E+00,8.7216761E+01
4.5898763E+00,8.7312411E+01
4.6396785E+00,8.7404923E+01
4.6894935E+00,8.7494271E+01
4.7392837E+00,8.7580375E+01
4.7890725E+00,8.7663261E+01
4.8388578E+00,8.7742914E+01
4.8886422E+00,8.7819323E+01
4.9384260E+00,8.7892477E+01
4.9882096E+00,8.7962365E+01
5.0364377E+00,8.4212980E+01
5.0860084E+00,8.4276138E+01
5.1351320E+00,8.4335498E+01
5.1851156E+00,8.4392589E+01
5.2356370E+00,8.4446893E+01
5.2847373E+00,8.4496384E+01
5.3345292E+00,8.4543257E+01
5.3843128E+00,8.4586776E+01
5.4340974E+00,8.4626943E+01
5.4838810E+00,8.4663749E+01
5.5332605E+00,9.3511804E+01
5.5840613E+00,9.3542480E+01
5.6338446E+00,9.3569129E+01
5.6836263E+00,9.3592396E+01
5.7334094E+00,9.3612279E+01
5.7831924E+00,9.3628773E+01
5.8329757E+00,9.3641875E+01
5.8827589E+00,9.3651584E+01
5.9325423E+00,9.3657897E+01
5.9823256E+00,9.3660814E+01
6.0307264E+00,9.1293947E+01
6.0801397E+00,9.1290204E+01
6.1299976E+00,9.1283037E+01
6.1790239E+00,9.1272669E+01
6.2289800E+00,9.1258719E+01
6.2796111E+00,9.1241096E+01
6.3290127E+00,9.1220523E+01
6.3788274E+00,9.1196404E+01
6.4277303E+00,9.1169434E+01
6.4777489E+00,9.1138479E+01
6.5269799E+00,9.3314595E+01
6.5774317E+00,9.3276552E+01
6.6272121E+00,9.3235636E+01
6.6769973E+00,9.3191364E+01
6.7267806E+00,9.3143750E+01
6.7765642E+00,9.3092800E+01
6.8263475E+00,9.3038523E+01
6.8761309E+00,9.2980928E+01
6.9259143E+00,9.2920025E+01
6.9756976E+00,9.2855824E+01
7.0239097E+00,9.1412495E+01
7.0733203E+00,9.1342376E+01
7.1234829E+00,9.1267901E+01
7.1673277E+00,9.1200102E+01
7.2167367E+00,9.1120688E+01
7.2666673E+00,9.1037207E+01
7.3167208E+00,9.0950277E+01
7.3659058E+00,9.0861708E+01
7.4152370E+00,9.0769755E+01
7.4650575E+00,9.0673734E+01
7.5144006E+00,8.9497439E+01
7.5638962E+00,8.9395832E+01
7.6130923E+00,8.9291787E+01
7.6631349E+00,8.9182848E+01
7.7135536E+00,8.9069943E+01
7.7633337E+00,8.8955387E+01
7.8131185E+00,8.8837779E+01
7.8629017E+00,8.8717153E+01
7.9126852E+00,8.8593525E+01
7.9624685E+00,8.8466918E+01
8.0109810E+00,7.9716442E+01
8.0613177E+00,7.9582526E+01
8.1111090E+00,7.9447129E+01
8.1608803E+00,7.9308896E+01
8.2106667E+00,7.9167753E+01
8.2604491E+00,7.9023778E+01
8.3102329E+00,7.8876979E+01
8.3600162E+00,7.8727387E+01
8.4097996E+00,7.8575025E+01
8.4595829E+00,7.8419921E+01
8.5072302E+00,9.1395069E+01
8.5571587E+00,9.1234201E+01
8.6068473E+00,9.1071445E+01
8.6559783E+00,9.0907933E+01
8.7057398E+00,9.0739734E+01
8.7562822E+00,9.0566256E+01
8.8058423E+00,9.0393597E+01
8.8556633E+00,9.0217510E+01
8.9054243E+00,9.0039145E+01
8.9552234E+00,8.9858182E+01
9.0042227E+00,8.3632710E+01
9.0544572E+00,8.3445319E+01
9.1044840E+00,8.3256306E+01
9.1535691E+00,8.3068558E+01
9.2030323E+00,8.2877099E+01
9.2529169E+00,8.2681738E+01
9.3031163E+00,8.2482876E+01
9.3533608E+00,8.2281591E+01
9.4023203E+00,8.2083326E+01
9.4523303E+00,8.1878675E+01
9.5000000E+00,7.6974361E+01
9.5510276E+00,7.6761331E+01
9.6005365E+00,7.6552601E+01
9.6496201E+00,7.6343714E+01
9.6997916E+00,7.6128227E+01
9.7495550E+00,7.5912562E+01
9.8000542E+00,7.5691781E+01
9.8491322E+00,7.5475388E+01
9.8996174E+00,7.5250952E+01
9.9494253E+00,7.5027737E+01
9.9991900E+00,7.4802979E+01
1.0046058E+01,7.7395100E+01
1.0095512E+01,7.7168506E+01
1.0145737E+01,7.6936739E+01
1.0195747E+01,7.6704367E+01
1.0244648E+01,7.6475632E+01
1.0294456E+01,7.6241164E+01
1.0344218E+01,7.6005445E+01
1.0394034E+01,7.5768042E+01
1.0443819E+01,7.5529399E+01
1.0493607E+01,7.5289395E+01
1.0543734E+01,7.4017634E+01
1.0593621E+01,7.3774566E+01
1.0642731E+01,7.3534086E+01
1.0692277E+01,7.3290305E+01
1.0742890E+01,7.3040108E+01
1.0792294E+01,7.2794793E+01
1.0842391E+01,7.2544974E+01
1.0891498E+01,7.2299098E+01
1.0940889E+01,7.2050841E+01
1.0990669E+01,7.1799704E+01
1.1040838E+01,7.7040971E+01
1.1090013E+01,7.6791172E+01
1.1139366E+01,7.6539687E+01
1.1189191E+01,7.6285036E+01
1.1239577E+01,7.6026791E+01
1.1289818E+01,7.5768602E+01
1.1339197E+01,7.5514218E+01
1.1388994E+01,7.5257102E+01
1.1438773E+01,7.4999532E+01
1.1488558E+01,7.4741439E+01
1.1537510E+01,7.6924150E+01
1.1587293E+01,7.6665207E+01
1.1628318E+01,7.6451540E+01
1.1679048E+01,7.6187018E+01
1.1728635E+01,7.5928173E+01
1.1778528E+01,7.5667492E+01
1.1828305E+01,7.5407216E+01
1.1878102E+01,7.5146681E+01
1.1927887E+01,7.4886103E+01
1.1977672E+01,7.4625457E+01
1.2026825E+01,6.8744249E+01
1.2075896E+01,6.8487343E+01
1.2126317E+01,6.8223443E+01
1.2176090E+01,6.7963043E+01
1.2225882E+01,6.7702701E+01
1.2275666E+01,6.7442606E+01
1.2325450E+01,6.7182748E+01
1.2375234E+01,6.6923185E+01
